ID,Tenure,Variable_1,Variable_2,Variable_3,Variable_4,Variable_5,Variable_6,Variable_7,Variable_8,Variable_9,Variable_10,Variable_11,Variable_12
18190919,4.2,10,636,2091,17868663,92567,343,2579,229,494,723,1155,1425
23653167,2.6,13,465,1218,26333975,138050,145,1722,165,231,396,1075,647
19469099,4.9,34,15,158,1712078,1417136,5,709,11,59,70,538,171
38555918,2.1,10,65,673,15161571,254010,100,1116,31,248,278,196,921
32477465,1.9,181,1492,4160,56537020,2032246,611,5464,570,1002,1572,2256,3208
21860895,3.9,11,602,1951,17620308,117937,264,2257,,439,650,1048,1209
30251060,3.8,303,310,1148,13299315,10515554,189,2509,148,415,563,879,1630
17413723,4.7,14,384,1225,16051507,193160,230,2271,180,353,533,1178,1093
17042098,1.9,303,310,1148,13299315,10515554,189,2509,148,415,563,879,1630
29386172,3.9,34,907,2933,34126621,735916,358,3008,304,596,900,1495,1513
19229420,3.3,34,311,931,9172303,1471632,146,1735,121,253,375,885,851
22635838,4.7,32,951,3619,66793163,769126,350,3434,321,624,944,1702,1731
40585408,4.7,177,561,1760,21861444,1688982,299,2844,233,519,752,1122,1723
24189610,4.4,23,464,1443,14485350,150731,250,2187,191,385,576,1087,1100
35259225,4.9,0,59,232,5169650,0,44,746,36,78,114,507,239
20440127,4.5,11,79,1596,28712241,47933,194,655,19,234,254,179,476
70967143,2.7,13,465,1218,26333975,138050,145,1722,165,231,396,1075,647
19201044,1.9,5,111,647,4966823,27109,98,1263,54,240,295,374,889
24431437,2.5,14,384,1225,16051507,193160,230,2271,180,353,533,1178,1093
18062907,4.9,81,318,1925,26549155,633710,272,1195,90,425,514,357,838
23977957,4.4,11,79,1596,28712241,47933,194,655,19,234,254,179,476
21024268,3.9,34,15,158,1712078,1417136,5,709,11,59,70,538,171
17794241,3,303,310,1148,13299315,10515554,189,2509,148,415,563,879,1630
20226134,3.2,32,951,3619,66793163,769126,350,3434,321,624,944,1702,1731
35302475,4.5,71,233,858,10665684,3791665,126,1533,108,239,347,806,727
18224723,2.9,25,194,652,11438412,1033591,47,591,57,111,168,350,241
26192181,3.2,14,453,1426,16531593,384624,138,1613,171,268,439,974,639
